danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.738,0.614,3,-3.761,1,0.0318,0.0151,0,0.104,0.413,110.021,audio_features,0tuyEYTaqLxE41yGHSsXjy,spotify:track:0tuyEYTaqLxE41yGHSsXjy,https://api.spotify.com/v1/tracks/0tuyEYTaqLxE41yGHSsXjy,https://api.spotify.com/v1/audio-analysis/0tuyEYTaqLxE41yGHSsXjy,231173,4
0.662,0.67,2,-5.504,1,0.027,0.0022,0,0.203,0.352,119.977,audio_features,3cvNxYnBgh6ystYLC6NQTT,spotify:track:3cvNxYnBgh6ystYLC6NQTT,https://api.spotify.com/v1/tracks/3cvNxYnBgh6ystYLC6NQTT,https://api.spotify.com/v1/audio-analysis/3cvNxYnBgh6ystYLC6NQTT,225400,4
0.675,0.79,1,-6.295,1,0.0369,0.129,0,0.121,0.423,120.015,audio_features,12tUCBq7V9qCF8qGOLpcnu,spotify:track:12tUCBq7V9qCF8qGOLpcnu,https://api.spotify.com/v1/tracks/12tUCBq7V9qCF8qGOLpcnu,https://api.spotify.com/v1/audio-analysis/12tUCBq7V9qCF8qGOLpcnu,229827,4
0.608,0.768,0,-5.227,1,0.0475,0.0913,0,0.0629,0.809,88.059,audio_features,5qII2n90lVdPDcgXEEVHNy,spotify:track:5qII2n90lVdPDcgXEEVHNy,https://api.spotify.com/v1/tracks/5qII2n90lVdPDcgXEEVHNy,https://api.spotify.com/v1/audio-analysis/5qII2n90lVdPDcgXEEVHNy,244880,4
0.606,0.759,0,-5.229,1,0.0482,0.0745,0,0.0595,0.803,88.062,audio_features,1YI0uK36eupTmw9F8kHysr,spotify:track:1YI0uK36eupTmw9F8kHysr,https://api.spotify.com/v1/tracks/1YI0uK36eupTmw9F8kHysr,https://api.spotify.com/v1/audio-analysis/1YI0uK36eupTmw9F8kHysr,244867,4
0.748,0.768,1,-7.095,1,0.0333,0.052,0,0.0859,0.9,120.035,audio_features,78Yxsdi1JiwLDsU7TWHezw,spotify:track:78Yxsdi1JiwLDsU7TWHezw,https://api.spotify.com/v1/tracks/78Yxsdi1JiwLDsU7TWHezw,https://api.spotify.com/v1/audio-analysis/78Yxsdi1JiwLDsU7TWHezw,235507,4
0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,0.595,91.05,audio_features,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,189486,4
0.712,0.862,5,-4.612,0,0.0378,0.0519,0,0.093,0.808,95.051,audio_features,6YgV0EF8xJMZz0Zm6BTaT4,spotify:track:6YgV0EF8xJMZz0Zm6BTaT4,https://api.spotify.com/v1/tracks/6YgV0EF8xJMZz0Zm6BTaT4,https://api.spotify.com/v1/audio-analysis/6YgV0EF8xJMZz0Zm6BTaT4,206200,4
0.727,0.53,8,-7.296,1,0.0703,0.159,0,0.105,0.43,139.996,audio_features,5kS3Kw2elRTrodnsyQuhvI,spotify:track:5kS3Kw2elRTrodnsyQuhvI,https://api.spotify.com/v1/tracks/5kS3Kw2elRTrodnsyQuhvI,https://api.spotify.com/v1/audio-analysis/5kS3Kw2elRTrodnsyQuhvI,196898,4
0.662,0.578,3,-2.637,1,0.0343,0.002,2.45e-06,0.104,0.404,168.04,audio_features,62FOsBpnZXEoPc1Qo9hcap,spotify:track:62FOsBpnZXEoPc1Qo9hcap,https://api.spotify.com/v1/tracks/62FOsBpnZXEoPc1Qo9hcap,https://api.spotify.com/v1/audio-analysis/62FOsBpnZXEoPc1Qo9hcap,255267,4
0.653,0.555,9,-6.656,1,0.0322,0.134,2.1e-05,0.09,0.0972,103.038,audio_features,5ezKhlg0ZwDPgOtMCoQt1S,spotify:track:5ezKhlg0ZwDPgOtMCoQt1S,https://api.spotify.com/v1/tracks/5ezKhlg0ZwDPgOtMCoQt1S,https://api.spotify.com/v1/audio-analysis/5ezKhlg0ZwDPgOtMCoQt1S,216931,4
0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,audio_features,7LcfRTgAVTs5pQGEQgUEzN,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/audio-analysis/7LcfRTgAVTs5pQGEQgUEzN,201160,4
0.609,0.81,11,-4.207,1,0.0296,0.11,0,0.246,0.47,117.364,audio_features,4ucLHLiSjvkCz5Lr5dlVUj,spotify:track:4ucLHLiSjvkCz5Lr5dlVUj,https://api.spotify.com/v1/tracks/4ucLHLiSjvkCz5Lr5dlVUj,https://api.spotify.com/v1/audio-analysis/4ucLHLiSjvkCz5Lr5dlVUj,196707,4
